20
Emma,Johnson,johnem01,1
Michael,Chen,chenmi01,2
Sarah,Williams,willsa01,1
David,Rodriguez,rodrdav01,2
Jessica,Brown,browje01,1
Christopher,Lee,leech01,2
Amanda,Davis,davisam01,1
James,Miller,millja01,2
Rachel,Garcia,garcra01,1
Daniel,Martinez,martda01,2
Nicole,Anderson,andeni01,1
Robert,Taylor,taylro01,2
Lauren,Thomas,thomla01,1
Kevin,Jackson,jackke01,2
Michelle,White,whitemi01,1
Steven,Harris,harrst01,2
Ashley,Clark,clarkas01,1
Andrew,Lewis,lewiand01,2
Brittany,Robinson,robinbr01,1
Matthew,Walker,walkma01,2 
